FIPStxt,State,Area_Name,POP_ESTIMATE_2019
05057,AR,Hempstead County,"21,532"
05059,AR,Hot Spring County,"33,771"
05061,AR,Howard County,"13,202"
05063,AR,Independence County,"37,825"
05065,AR,Izard County,"13,629"
05067,AR,Jackson County,"16,719"
05069,AR,Jefferson County,"66,824"
05071,AR,Johnson County,"26,578"
05073,AR,Lafayette County,"6,624"
05075,AR,Lawrence County,"16,406"
05077,AR,Lee County,"8,857"
05079,AR,Lincoln County,"13,024"
05081,AR,Little River County,"12,259"
05083,AR,Logan County,"21,466"
05085,AR,Lonoke County,"73,309"
05087,AR,Madison County,"16,576"
05089,AR,Marion County,"16,694"
05091,AR,Miller County,"43,257"
05093,AR,Mississippi County,"40,651"
05095,AR,Monroe County,"6,701"
05097,AR,Montgomery County,"8,986"
05099,AR,Nevada County,"8,252"
05101,AR,Newton County,"7,753"
05103,AR,Ouachita County,"23,382"
05105,AR,Perry County,"10,455"
05107,AR,Phillips County,"17,782"
05109,AR,Pike County,"10,718"
05111,AR,Poinsett County,"23,528"
05113,AR,Polk County,"19,964"
05115,AR,Pope County,"64,072"
05117,AR,Prairie County,"8,062"
05119,AR,Pulaski County,"391,911"
05121,AR,Randolph County,"17,958"
05123,AR,St. Francis County,"24,994"
05125,AR,Saline County,"122,437"
05127,AR,Scott County,"10,281"
05129,AR,Searcy County,"7,881"
05131,AR,Sebastian County,"127,827"
05133,AR,Sevier County,"17,007"
05135,AR,Sharp County,"17,442"
05137,AR,Stone County,"12,506"
05139,AR,Union County,"38,682"
05141,AR,Van Buren County,"16,545"
05143,AR,Washington County,"239,187"
05145,AR,White County,"78,753"
05147,AR,Woodruff County,"6,320"
05149,AR,Yell County,"21,341"
06000,CA,California,"39,512,223"
06001,CA,Alameda County,"1,671,329"
06003,CA,Alpine County,"1,129"
06005,CA,Amador County,"39,752"
06007,CA,Butte County,"219,186"
06009,CA,Calaveras County,"45,905"
06011,CA,Colusa County,"21,547"
06013,CA,Contra Costa County,"1,153,526"
06015,CA,Del Norte County,"27,812"
06017,CA,El Dorado County,"192,843"
06019,CA,Fresno County,"999,101"
06021,CA,Glenn County,"28,393"
06023,CA,Humboldt County,"135,558"
06025,CA,Imperial County,"181,215"
06027,CA,Inyo County,"18,039"
06029,CA,Kern County,"900,202"
06031,CA,Kings County,"152,940"
06033,CA,Lake County,"64,386"
06035,CA,Lassen County,"30,573"
06037,CA,Los Angeles County,"10,039,107"
06039,CA,Madera County,"157,327"
06041,CA,Marin County,"258,826"
06043,CA,Mariposa County,"17,203"
06045,CA,Mendocino County,"86,749"
06047,CA,Merced County,"277,680"
06049,CA,Modoc County,"8,841"
06051,CA,Mono County,"14,444"
06053,CA,Monterey County,"434,061"
06055,CA,Napa County,"137,744"
06057,CA,Nevada County,"99,755"
06059,CA,Orange County,"3,175,692"
06061,CA,Placer County,"398,329"
06063,CA,Plumas County,"18,807"
06065,CA,Riverside County,"2,470,546"
06067,CA,Sacramento County,"1,552,058"
06069,CA,San Benito County,"62,808"
06071,CA,San Bernardino County,"2,180,085"
06073,CA,San Diego County,"3,338,330"
06075,CA,San Francisco County,"881,549"
06077,CA,San Joaquin County,"762,148"
06079,CA,San Luis Obispo County,"283,111"
06081,CA,San Mateo County,"766,573"
06083,CA,Santa Barbara County,"446,499"
06085,CA,Santa Clara County,"1,927,852"
06087,CA,Santa Cruz County,"273,213"
06089,CA,Shasta County,"180,080"
06091,CA,Sierra County,"3,005"
06093,CA,Siskiyou County,"43,539"
06095,CA,Solano County,"447,643"
06097,CA,Sonoma County,"494,336"
06099,CA,Stanislaus County,"550,660"
06101,CA,Sutter County,"96,971"
06103,CA,Tehama County,"65,084"
06105,CA,Trinity County,"12,285"
06107,CA,Tulare County,"466,195"
06109,CA,Tuolumne County,"54,478"
06111,CA,Ventura County,"846,006"
06113,CA,Yolo County,"220,500"
06115,CA,Yuba County,"78,668"
08000,CO,Colorado,"5,758,736"
08001,CO,Adams County,"517,421"
08003,CO,Alamosa County,"16,233"
08005,CO,Arapahoe County,"656,590"
08007,CO,Archuleta County,"14,029"
08009,CO,Baca County,"3,581"
08011,CO,Bent County,"5,577"
08013,CO,Boulder County,"326,196"
08014,CO,Broomfield County,"70,465"
08015,CO,Chaffee County,"20,356"
08017,CO,Cheyenne County,"1,831"
08019,CO,Clear Creek County,"9,700"
08021,CO,Conejos County,"8,205"
08023,CO,Costilla County,"3,887"
08025,CO,Crowley County,"6,061"
08027,CO,Custer County,"5,068"
08029,CO,Delta County,"31,162"
08031,CO,Denver County,"727,211"
08033,CO,Dolores County,"2,055"
08035,CO,Douglas County,"351,154"
08037,CO,Eagle County,"55,127"
08039,CO,Elbert County,"26,729"
08041,CO,El Paso County,"720,403"
08043,CO,Fremont County,"47,839"
08045,CO,Garfield County,"60,061"
08047,CO,Gilpin County,"6,243"
08049,CO,Grand County,"15,734"
08051,CO,Gunnison County,"17,462"
08053,CO,Hinsdale County,820
08055,CO,Huerfano County,"6,897"
08057,CO,Jackson County,"1,392"
08059,CO,Jefferson County,"582,881"
08061,CO,Kiowa County,"1,406"
08063,CO,Kit Carson County,"7,097"
08065,CO,Lake County,"8,127"
08067,CO,La Plata County,"56,221"
08069,CO,Larimer County,"356,899"
08071,CO,Las Animas County,"14,506"
08073,CO,Lincoln County,"5,701"
08075,CO,Logan County,"22,409"
08077,CO,Mesa County,"154,210"
08079,CO,Mineral County,769
08081,CO,Moffat County,"13,283"
08083,CO,Montezuma County,"26,183"
08085,CO,Montrose County,"42,758"
08087,CO,Morgan County,"29,068"
08089,CO,Otero County,"18,278"
08091,CO,Ouray County,"4,952"
08093,CO,Park County,"18,845"
08095,CO,Phillips County,"4,265"
08097,CO,Pitkin County,"17,767"
08099,CO,Prowers County,"12,172"
08101,CO,Pueblo County,"168,424"
08103,CO,Rio Blanco County,"6,324"
08105,CO,Rio Grande County,"11,267"
08107,CO,Routt County,"25,638"
08109,CO,Saguache County,"6,824"
08111,CO,San Juan County,728
08113,CO,San Miguel County,"8,179"
08115,CO,Sedgwick County,"2,248"
08117,CO,Summit County,"31,011"
08119,CO,Teller County,"25,388"
08121,CO,Washington County,"4,908"
08123,CO,Weld County,"324,492"
08125,CO,Yuma County,"10,019"
09000,CT,Connecticut,"3,565,287"
09001,CT,Fairfield County,"943,332"
09003,CT,Hartford County,"891,720"
09005,CT,Litchfield County,"180,333"
09007,CT,Middlesex County,"162,436"
09009,CT,New Haven County,"854,757"
09011,CT,New London County,"265,206"
09013,CT,Tolland County,"150,721"
09015,CT,Windham County,"116,782"
10000,DE,Delaware,"973,764"
10001,DE,Kent County,"180,786"
10003,DE,New Castle County,"558,753"
10005,DE,Sussex County,"234,225"
11000,DC,District of Columbia,"705,749"
11001,DC,District of Columbia,"705,749"
12000,FL,Florida,"21,477,737"
12001,FL,Alachua County,"269,043"
12003,FL,Baker County,"29,210"
12005,FL,Bay County,"174,705"
12007,FL,Bradford County,"28,201"
12009,FL,Brevard County,"601,942"
12011,FL,Broward County,"1,952,778"
12013,FL,Calhoun County,"14,105"
12015,FL,Charlotte County,"188,910"
12017,FL,Citrus County,"149,657"
12019,FL,Clay County,"219,252"
12021,FL,Collier County,"384,902"
12023,FL,Columbia County,"71,686"
12027,FL,DeSoto County,"38,001"
12029,FL,Dixie County,"16,826"
12031,FL,Duval County,"957,755"
12033,FL,Escambia County,"318,316"
12035,FL,Flagler County,"115,081"
12037,FL,Franklin County,"12,125"
12039,FL,Gadsden County,"45,660"
12041,FL,Gilchrist County,"18,582"
12043,FL,Glades County,"13,811"
12045,FL,Gulf County,"13,639"
12047,FL,Hamilton County,"14,428"
12049,FL,Hardee County,"26,937"
12051,FL,Hendry County,"42,022"
12053,FL,Hernando County,"193,920"
12055,FL,Highlands County,"106,221"
12057,FL,Hillsborough County,"1,471,968"
12059,FL,Holmes County,"19,617"
12061,FL,Indian River County,"159,923"
12063,FL,Jackson County,"46,414"
12065,FL,Jefferson County,"14,246"
12067,FL,Lafayette County,"8,422"
12069,FL,Lake County,"367,118"
12071,FL,Lee County,"770,577"
12073,FL,Leon County,"293,582"
12075,FL,Levy County,"41,503"
12077,FL,Liberty County,"8,354"
12079,FL,Madison County,"18,493"
12081,FL,Manatee County,"403,253"
12083,FL,Marion County,"365,579"
12085,FL,Martin County,"161,000"
12086,FL,Miami-Dade County,"2,716,940"
12087,FL,Monroe County,"74,228"
12089,FL,Nassau County,"88,625"
12091,FL,Okaloosa County,"210,738"
12093,FL,Okeechobee County,"42,168"
12095,FL,Orange County,"1,393,452"
12097,FL,Osceola County,"375,751"
12099,FL,Palm Beach County,"1,496,770"
12101,FL,Pasco County,"553,947"
12103,FL,Pinellas County,"974,996"
12105,FL,Polk County,"724,777"
12107,FL,Putnam County,"74,521"
12109,FL,St. Johns County,"264,672"
12111,FL,St. Lucie County,"328,297"
12113,FL,Santa Rosa County,"184,313"
12115,FL,Sarasota County,"433,742"
12117,FL,Seminole County,"471,826"
12119,FL,Sumter County,"132,420"
12121,FL,Suwannee County,"44,417"
12123,FL,Taylor County,"21,569"
12125,FL,Union County,"15,237"
12127,FL,Volusia County,"553,284"
12129,FL,Wakulla County,"33,739"
12131,FL,Walton County,"74,071"
12133,FL,Washington County,"25,473"
13000,GA,Georgia,"10,617,423"
13001,GA,Appling County,"18,386"
13003,GA,Atkinson County,"8,165"
13005,GA,Bacon County,"11,164"
13007,GA,Baker County,"3,038"
13009,GA,Baldwin County,"44,890"
13011,GA,Banks County,"19,234"
13013,GA,Barrow County,"83,240"
13015,GA,Bartow County,"107,738"
13017,GA,Ben Hill County,"16,700"
13019,GA,Berrien County,"19,397"
13021,GA,Bibb County,"153,159"
13023,GA,Bleckley County,"12,873"
13025,GA,Brantley County,"19,109"
13027,GA,Brooks County,"15,457"
13029,GA,Bryan County,"39,627"
13031,GA,Bulloch County,"79,608"
13033,GA,Burke County,"22,383"
13035,GA,Butts County,"24,936"
13037,GA,Calhoun County,"6,189"
13039,GA,Camden County,"54,666"
13043,GA,Candler County,"10,803"
13045,GA,Carroll County,"119,992"
13047,GA,Catoosa County,"67,580"
13049,GA,Charlton County,"13,392"
13051,GA,Chatham County,"289,430"
13053,GA,Chattahoochee County,"10,907"
13055,GA,Chattooga County,"24,789"
13057,GA,Cherokee County,"258,773"
13059,GA,Clarke County,"128,331"
13061,GA,Clay County,"2,834"
13063,GA,Clayton County,"292,256"
13065,GA,Clinch County,"6,618"
13067,GA,Cobb County,"760,141"
13069,GA,Coffee County,"43,273"
13071,GA,Colquitt County,"45,600"
13073,GA,Columbia County,"156,714"
13075,GA,Cook County,"17,270"
13077,GA,Coweta County,"148,509"
13079,GA,Crawford County,"12,404"
13081,GA,Crisp County,"22,372"
13083,GA,Dade County,"16,116"
13085,GA,Dawson County,"26,108"
13087,GA,Decatur County,"26,404"
13089,GA,DeKalb County,"759,297"
13091,GA,Dodge County,"20,605"
13093,GA,Dooly County,"13,390"
13095,GA,Dougherty County,"87,956"
13097,GA,Douglas County,"146,343"
13099,GA,Early County,"10,190"
13101,GA,Echols County,"4,006"
13103,GA,Effingham County,"64,296"
13105,GA,Elbert County,"19,194"
13107,GA,Emanuel County,"22,646"
13109,GA,Evans County,"10,654"
13111,GA,Fannin County,"26,188"
13113,GA,Fayette County,"114,421"
13115,GA,Floyd County,"98,498"
13117,GA,Forsyth County,"244,252"
13119,GA,Franklin County,"23,349"
13121,GA,Fulton County,"1,063,937"
13123,GA,Gilmer County,"31,369"
13125,GA,Glascock County,"2,971"
13127,GA,Glynn County,"85,292"
13129,GA,Gordon County,"57,963"
13131,GA,Grady County,"24,633"
13133,GA,Greene County,"18,324"
13135,GA,Gwinnett County,"936,250"
13137,GA,Habersham County,"45,328"
13139,GA,Hall County,"204,441"
13141,GA,Hancock County,"8,457"
13143,GA,Haralson County,"29,792"
13145,GA,Harris County,"35,236"
13147,GA,Hart County,"26,205"
13149,GA,Heard County,"11,923"
13151,GA,Henry County,"234,561"
13153,GA,Houston County,"157,863"
13155,GA,Irwin County,"9,416"
13157,GA,Jackson County,"72,977"
13159,GA,Jasper County,"14,219"
13161,GA,Jeff Davis County,"15,115"
13163,GA,Jefferson County,"15,362"
13165,GA,Jenkins County,"8,676"
13167,GA,Johnson County,"9,643"
13169,GA,Jones County,"28,735"
13171,GA,Lamar County,"19,077"
13173,GA,Lanier County,"10,423"
13175,GA,Laurens County,"47,546"
13177,GA,Lee County,"29,992"
13179,GA,Liberty County,"61,435"
13181,GA,Lincoln County,"7,921"
13183,GA,Long County,"19,559"
13185,GA,Lowndes County,"117,406"
13187,GA,Lumpkin County,"33,610"
13189,GA,McDuffie County,"21,312"
13191,GA,McIntosh County,"14,378"
13193,GA,Macon County,"12,947"
13195,GA,Madison County,"29,880"
13197,GA,Marion County,"8,359"
13199,GA,Meriwether County,"21,167"
13201,GA,Miller County,"5,718"
13205,GA,Mitchell County,"21,863"
13207,GA,Monroe County,"27,578"
13209,GA,Montgomery County,"9,172"
13211,GA,Morgan County,"19,276"
13213,GA,Murray County,"40,096"
13215,GA,Muscogee County,"195,769"
13217,GA,Newton County,"111,744"
13219,GA,Oconee County,"40,280"
13221,GA,Oglethorpe County,"15,259"
13223,GA,Paulding County,"168,667"
13225,GA,Peach County,"27,546"
13227,GA,Pickens County,"32,591"
13229,GA,Pierce County,"19,465"
13231,GA,Pike County,"18,962"
13233,GA,Polk County,"42,613"
13235,GA,Pulaski County,"11,137"
13237,GA,Putnam County,"22,119"
13239,GA,Quitman County,"2,299"
13241,GA,Rabun County,"17,137"
13243,GA,Randolph County,"6,778"
13245,GA,Richmond County,"202,518"
13247,GA,Rockdale County,"90,896"
13249,GA,Schley County,"5,257"
13251,GA,Screven County,"13,966"
13253,GA,Seminole County,"8,090"
13255,GA,Spalding County,"66,703"
13257,GA,Stephens County,"25,925"
13259,GA,Stewart County,"6,621"
13261,GA,Sumter County,"29,524"
13263,GA,Talbot County,"6,195"
13265,GA,Taliaferro County,"1,537"
13267,GA,Tattnall County,"25,286"
13269,GA,Taylor County,"8,020"
13271,GA,Telfair County,"15,860"
13273,GA,Terrell County,"8,531"
13275,GA,Thomas County,"44,451"
13277,GA,Tift County,"40,644"
13279,GA,Toombs County,"26,830"
13281,GA,Towns County,"12,037"
13283,GA,Treutlen County,"6,901"
13285,GA,Troup County,"69,922"
13287,GA,Turner County,"7,985"
13289,GA,Twiggs County,"8,120"
13291,GA,Union County,"24,511"
13293,GA,Upson County,"26,320"
13295,GA,Walker County,"69,761"
13297,GA,Walton County,"94,593"
13299,GA,Ware County,"35,734"
13301,GA,Warren County,"5,254"
13303,GA,Washington County,"20,374"
13305,GA,Wayne County,"29,927"
13307,GA,Webster County,"2,607"
13309,GA,Wheeler County,"7,855"
13311,GA,White County,"30,798"
13313,GA,Whitfield County,"104,628"
13315,GA,Wilcox County,"8,635"
13317,GA,Wilkes County,"9,777"
13319,GA,Wilkinson County,"8,954"
13321,GA,Worth County,"20,247"
15000,HI,Hawaii,"1,415,872"
15001,HI,Hawaii County,"201,513"
15003,HI,Honolulu County,"974,563"
15005,HI,Kalawao County,86
15007,HI,Kauai County,"72,293"
15009,HI,Maui County,"167,417"
16000,ID,Idaho,"1,787,065"
16001,ID,Ada County,"481,587"
16003,ID,Adams County,"4,294"
16005,ID,Bannock County,"87,808"
16007,ID,Bear Lake County,"6,125"
16009,ID,Benewah County,"9,298"
16011,ID,Bingham County,"46,811"
16013,ID,Blaine County,"23,021"
16015,ID,Boise County,"7,831"
16017,ID,Bonner County,"45,739"
16019,ID,Bonneville County,"119,062"
16021,ID,Boundary County,"12,245"
16023,ID,Butte County,"2,597"
16025,ID,Camas County,"1,106"
16027,ID,Canyon County,"229,849"
16029,ID,Caribou County,"7,155"
16031,ID,Cassia County,"24,030"
16033,ID,Clark County,845
16035,ID,Clearwater County,"8,756"
16037,ID,Custer County,"4,315"
16039,ID,Elmore County,"27,511"
16041,ID,Franklin County,"13,876"
16043,ID,Fremont County,"13,099"
16045,ID,Gem County,"18,112"
16047,ID,Gooding County,"15,179"
16049,ID,Idaho County,"16,667"
16051,ID,Jefferson County,"29,871"
16053,ID,Jerome County,"24,412"
16055,ID,Kootenai County,"165,697"
16057,ID,Latah County,"40,108"
16059,ID,Lemhi County,"8,027"
16061,ID,Lewis County,"3,838"
16063,ID,Lincoln County,"5,366"
16065,ID,Madison County,"39,907"
16067,ID,Minidoka County,"21,039"
16069,ID,Nez Perce County,"40,408"
16071,ID,Oneida County,"4,531"
16073,ID,Owyhee County,"11,823"
16075,ID,Payette County,"23,951"
16077,ID,Power County,"7,681"
16079,ID,Shoshone County,"12,882"
16081,ID,Teton County,"12,142"
16083,ID,Twin Falls County,"86,878"
16085,ID,Valley County,"11,392"
16087,ID,Washington County,"10,194"
17000,IL,Illinois,"12,671,821"
17001,IL,Adams County,"65,435"
17003,IL,Alexander County,"5,761"
17005,IL,Bond County,"16,426"
17007,IL,Boone County,"53,544"
17009,IL,Brown County,"6,578"
17011,IL,Bureau County,"32,628"
17013,IL,Calhoun County,"4,739"
17015,IL,Carroll County,"14,305"
17017,IL,Cass County,"12,147"
17019,IL,Champaign County,"209,689"
17021,IL,Christian County,"32,304"
17023,IL,Clark County,"15,441"
17025,IL,Clay County,"13,184"
17027,IL,Clinton County,"37,562"
17029,IL,Coles County,"50,621"
17031,IL,Cook County,"5,150,233"
17033,IL,Crawford County,"18,667"
17035,IL,Cumberland County,"10,766"
17037,IL,DeKalb County,"104,897"
17039,IL,De Witt County,"15,638"
17041,IL,Douglas County,"19,465"
17043,IL,DuPage County,"922,921"
17045,IL,Edgar County,"17,161"
17047,IL,Edwards County,"6,395"
17049,IL,Effingham County,"34,008"
17051,IL,Fayette County,"21,336"
17053,IL,Ford County,"12,961"
17055,IL,Franklin County,"38,469"
17057,IL,Fulton County,"34,340"
17059,IL,Gallatin County,"4,828"
17061,IL,Greene County,"12,969"
17063,IL,Grundy County,"51,054"
17065,IL,Hamilton County,"8,116"
17067,IL,Hancock County,"17,708"
17069,IL,Hardin County,"3,821"
17071,IL,Henderson County,"6,646"
17073,IL,Henry County,"48,913"
17075,IL,Iroquois County,"27,114"
17077,IL,Jackson County,"56,750"
17079,IL,Jasper County,"9,610"
17081,IL,Jefferson County,"37,684"
17083,IL,Jersey County,"21,773"
17085,IL,Jo Daviess County,"21,235"
17087,IL,Johnson County,"12,417"
17089,IL,Kane County,"532,403"
17091,IL,Kankakee County,"109,862"
17093,IL,Kendall County,"128,990"
17095,IL,Knox County,"49,699"
17097,IL,Lake County,"696,535"
17099,IL,LaSalle County,"108,669"
17101,IL,Lawrence County,"15,678"
17103,IL,Lee County,"34,096"
17105,IL,Livingston County,"35,648"
17107,IL,Logan County,"28,618"
17109,IL,McDonough County,"29,682"
17111,IL,McHenry County,"307,774"
17113,IL,McLean County,"171,517"
17115,IL,Macon County,"104,009"
17117,IL,Macoupin County,"44,926"
17119,IL,Madison County,"262,966"
17121,IL,Marion County,"37,205"
17123,IL,Marshall County,"11,438"
17125,IL,Mason County,"13,359"
17127,IL,Massac County,"13,772"
17129,IL,Menard County,"12,196"
17131,IL,Mercer County,"15,437"
17133,IL,Monroe County,"34,637"
17135,IL,Montgomery County,"28,414"
17137,IL,Morgan County,"33,658"
17139,IL,Moultrie County,"14,501"
17141,IL,Ogle County,"50,643"
17143,IL,Peoria County,"179,179"
17145,IL,Perry County,"20,916"
17147,IL,Piatt County,"16,344"
17149,IL,Pike County,"15,561"
17151,IL,Pope County,"4,177"
17153,IL,Pulaski County,"5,335"
17155,IL,Putnam County,"5,739"
17157,IL,Randolph County,"31,782"
17159,IL,Richland County,"15,513"
17161,IL,Rock Island County,"141,879"
17163,IL,St. Clair County,"259,686"
17165,IL,Saline County,"23,491"
17167,IL,Sangamon County,"194,672"
17169,IL,Schuyler County,"6,768"
17171,IL,Scott County,"4,951"
17173,IL,Shelby County,"21,634"
17175,IL,Stark County,"5,342"
17177,IL,Stephenson County,"44,498"
17179,IL,Tazewell County,"131,803"
17181,IL,Union County,"16,653"
17183,IL,Vermilion County,"75,758"
17185,IL,Wabash County,"11,520"
17187,IL,Warren County,"16,844"
17189,IL,Washington County,"13,887"
17191,IL,Wayne County,"16,215"
17193,IL,White County,"13,537"
17195,IL,Whiteside County,"55,175"
17197,IL,Will County,"690,743"
17199,IL,Williamson County,"66,597"
17201,IL,Winnebago County,"282,572"
17203,IL,Woodford County,"38,459"
18000,IN,Indiana,"6,732,219"
18001,IN,Adams County,"35,777"
18003,IN,Allen County,"379,299"
18005,IN,Bartholomew County,"83,779"
18007,IN,Benton County,"8,748"
18009,IN,Blackford County,"11,758"
18011,IN,Boone County,"67,843"
18013,IN,Brown County,"15,092"
18015,IN,Carroll County,"20,257"
18017,IN,Cass County,"37,689"
18019,IN,Clark County,"118,302"
18021,IN,Clay County,"26,225"
18023,IN,Clinton County,"32,399"
18025,IN,Crawford County,"10,577"
18027,IN,Daviess County,"33,351"
18029,IN,Dearborn County,"49,458"
18031,IN,Decatur County,"26,559"
18033,IN,DeKalb County,"43,475"
18035,IN,Delaware County,"114,135"
18037,IN,Dubois County,"42,736"
18039,IN,Elkhart County,"206,341"
18041,IN,Fayette County,"23,102"
18043,IN,Floyd County,"78,522"
18045,IN,Fountain County,"16,346"
18047,IN,Franklin County,"22,758"
18049,IN,Fulton County,"19,974"
18051,IN,Gibson County,"33,659"
18053,IN,Grant County,"65,769"
18055,IN,Greene County,"31,922"
18057,IN,Hamilton County,"338,011"
18059,IN,Hancock County,"78,168"
18061,IN,Harrison County,"40,515"
18063,IN,Hendricks County,"170,311"
18065,IN,Henry County,"47,972"
18067,IN,Howard County,"82,544"
18069,IN,Huntington County,"36,520"
18071,IN,Jackson County,"44,231"
18073,IN,Jasper County,"33,562"
18075,IN,Jay County,"20,436"
18077,IN,Jefferson County,"32,308"
18079,IN,Jennings County,"27,735"
18081,IN,Johnson County,"158,167"
18083,IN,Knox County,"36,594"
18085,IN,Kosciusko County,"79,456"
18087,IN,LaGrange County,"39,614"
18089,IN,Lake County,"485,493"
18091,IN,LaPorte County,"109,888"
18093,IN,Lawrence County,"45,370"
18095,IN,Madison County,"129,569"
